Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1140000,0.717076,-0.017061802,349.0,-0.43912280975073054,-0.43912280975073054,0.0013796593,0.13071574,0.00023219734,1.0
1160000,0.9092421,-0.014113389,364.45454545454544,-0.42490909455174747,-0.42490909455174747,0.0011942443,0.12736581,0.0002309971,1.0
1180000,0.9428554,-0.016332323,349.87719298245617,-0.4385964944631907,-0.4385964944631907,0.0013666574,0.13572432,0.00022979654,1.0
1200000,0.8074492,-0.016904758,349.0,-0.45070175444217103,-0.45070175444217103,0.0013888972,0.13376424,0.00022859535,1.0
1220000,0.8224585,-0.017584527,349.0,-0.4859649163523787,-0.4859649163523787,0.0015778478,0.13263026,0.00022739416,1.0
1240000,0.90360236,-0.016854443,350.7543859649123,-0.45824561719047396,-0.45824561719047396,0.0013671338,0.13585718,0.000226193,1.0
1260000,0.9904325,-0.017426644,350.7543859649123,-0.46649123166213957,-0.46649123166213957,0.0014710294,0.13029148,0.00022499957,1.0
1280000,0.84091884,-0.017877419,349.0,-0.484912285777299,-0.484912285777299,0.0015831599,0.13508886,0.00022380617,1.0
1300000,0.9589972,-0.01888514,349.0,-0.4822807072482088,-0.4822807072482088,0.0015319946,0.13025631,0.00022260497,1.0
1320000,0.9843384,-0.01750687,349.0,-0.46228070488493694,-0.46228070488493694,0.0013678031,0.13291685,0.00022140375,1.0
1340000,0.9370453,-0.015498886,349.87719298245617,-0.42824561511607545,-0.42824561511607545,0.0012439972,0.1324089,0.00022020261,1.0
1360000,0.7767436,-0.014640173,350.7543859649123,-0.42333333596195044,-0.42333333596195044,0.001222393,0.13268153,0.00021900212,1.0
